neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.4596391,0.0,0.5165439,0.0,0.42158404,0.0,0.35660502,0.0,0.3702698,0.0
0.50791335,0.007438224,0.5738251,0.0,0.33370033,0.0,0.28493375,0.0,0.23351263,0.0
0.5540375,0.014876448,0.6221496,0.0,0.24566054,0.0,0.19852744,0.0,0.10245512,0.0
0.59793204,0.022314671,0.6620001,0.0,0.16072698,0.0,0.095797956,0.0,-0.014521405,0.0
0.63976514,0.029752895,0.6939825,0.0,0.081489176,0.0,-0.024109451,0.0,-0.112529896,0.0
0.67975503,0.03719112,0.7187116,0.0,0.009681131,0.0,-0.16017886,0.0,-0.18989792,0.0
0.7180173,0.044629343,0.7367684,0.0,-0.05377877,0.0,-0.30805647,0.0,-0.24719918,0.0
0.75448424,0.052067567,0.7487338,0.0,-0.108628996,0.0,-0.45908326,0.0,-0.2863886,0.0
0.78889734,0.05950579,0.75528,0.0,-0.15508443,0.0,-0.601292,0.0,-0.31024384,0.0
0.82086456,0.06694401,0.75726426,0.0,-0.19368565,0.0,-0.72309315,0.0,-0.32195586,0.0
0.84996814,0.07438224,0.75574386,0.0,-0.22518504,0.0,-0.8177336,0.0,-0.32471472,0.0
0.8758827,0.081820466,0.75186765,0.0,-0.2504545,0.0,-0.885079,0.0,-0.32133073,0.0
0.8984548,0.089258686,0.74669886,0.0,-0.27040476,0.0,-0.9297497,0.0,-0.31402043,0.0
0.917721,0.09669691,0.74107546,0.0,-0.2859183,0.0,-0.9579203,0.0,-0.30438995,0.0
0.9338759,0.10413513,0.7355653,0.0,-0.29780278,0.0,-0.97510237,0.0,-0.29353884,0.0
0.94721913,0.11157335,0.73049766,0.0,-0.30676624,0.0,-0.9853686,0.0,-0.28219447,0.0
0.9581025,0.11901158,0.72602636,0.0,-0.31341,0.0,-0.99142987,0.0,-0.27082837,0.0
0.9668886,0.12644981,0.7221921,0.0,-0.31823298,0.0,-0.9949856,0.0,-0.2597411,0.0
0.97392285,0.13388802,0.71897036,0.0,-0.32164195,0.0,-0.99706525,0.0,-0.24911992,0.0
0.97951716,0.14132625,0.7163041,0.0,-0.3239645,0.0,-0.9982805,0.0,-0.23907666,0.0
0.9839429,0.14876448,0.71412385,0.0,-0.32546154,0.0,-0.99899095,0.0,-0.22967234,0.0
0.9874301,0.15620269,0.71235913,0.0,-0.3263393,0.0,-0.9994067,0.0,-0.22093365,0.0
0.99016905,0.16364093,0.7109444,0.0,-0.3267596,0.0,-0.9996504,0.0,-0.21286374,0.0
0.9923154,0.17107914,0.7098214,0.0,-0.32684848,0.0,-0.9997935,0.0,-0.20544997,0.0
0.9939945,0.17851737,0.7089401,0.0,-0.32670346,0.0,-0.9998778,0.0,-0.198669,0.0
0.9953065,0.1859556,0.70825803,0.0,-0.3263996,0.0,-0.9999275,0.0,-0.1924907,0.0
0.9963309,0.19339383,0.7077399,0.0,-0.32599404,0.0,-0.99995685,0.0,-0.18688074,0.0
0.9971305,0.20083204,0.7073562,0.0,-0.32552993,0.0,-0.9999743,0.0,-0.18180263,0.0
0.9977546,0.20827027,0.7070828,0.0,-0.32503942,0.0,-0.9999846,0.0,-0.17721905,0.0
0.99824166,0.2157085,0.7068997,0.0,-0.3245462,0.0,-0.9999908,0.0,-0.1730929,0.0
0.99862194,0.2231467,0.7067903,0.0,-0.3240672,0.0,-0.99999446,0.0,-0.16938797,0.0
0.99891907,0.23058493,0.7067413,0.0,-0.3236144,0.0,-0.99999666,0.0,-0.16606946,0.0
0.9991513,0.23802316,0.7067413,0.0,-0.32319567,0.0,-0.999998,0.0,-0.16310428,0.0
0.99933296,0.24546139,0.706781,0.0,-0.322816,0.0,-0.9999988,0.0,-0.16046123,0.0
0.9994752,0.25289962,0.706853,0.0,-0.3224781,0.0,-0.9999993,0.0,-0.1581111,0.0
0.99958664,0.26033783,0.70695066,0.0,-0.32218283,0.0,-0.9999995,0.0,-0.15602668,0.0
