neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.62600213,0.5887572,0.64855325,0.0,0.5325695,0.0,0.542782,0.0,0.6235626,0.0
0.13403073,0.48801985,0.12455142,0.0,0.37476805,0.0,0.529845,0.0,0.48932704,0.0
0.0843773,0.43965277,0.06723487,0.0,0.2591947,0.0,0.5288551,0.0,0.39407536,0.0
0.07314701,0.2851617,0.07421309,0.0,0.17668787,0.0,0.53087014,0.0,0.33089596,0.0
0.074435025,0.2402662,0.10685112,0.0,0.11932567,0.0,0.53173584,0.0,0.28874806,0.0
0.0821044,0.2725422,0.15904982,0.0,0.08009342,0.0,0.5285536,0.0,0.25981933,0.0
0.09332629,0.33532557,0.22217306,0.0,0.053729318,0.0,0.51976794,0.0,0.23930714,0.0
0.10637339,0.42965913,0.28467578,0.0,0.03638416,0.0,0.5053141,0.0,0.22429952,0.0
0.120282575,0.5684907,0.33813655,0.0,0.025172254,0.0,0.48618317,0.0,0.21299694,0.0
0.13324465,0.6828205,0.37956396,0.0,0.01798093,0.0,0.46378303,0.0,0.20425788,0.0
0.14191365,0.6648869,0.40947005,0.0,0.013357033,0.0,0.43951684,0.0,0.19733927,0.0
0.14911821,0.73369694,0.4303783,0.0,0.010353289,0.0,0.41452286,0.0,0.19174522,0.0
0.15527314,0.8093889,0.4448252,0.0,0.008376294,0.0,0.38964257,0.0,0.18713728,0.0
0.15808722,0.773843,0.45448807,0.0,0.0070620393,0.0,0.36549452,0.0,0.18327992,0.0
0.15923177,0.7495397,0.46083474,0.0,0.0061863726,0.0,0.34248862,0.0,0.18000618,0.0
0.15678148,0.60826796,0.464589,0.0,0.0056110686,0.0,0.3209044,0.0,0.17719577,0.0
0.15199013,0.4414146,0.46642515,0.0,0.0052491915,0.0,0.30090094,0.0,0.17476064,0.0
0.14546645,0.24434172,0.46685258,0.0,0.005045215,0.0,0.28254372,0.0,0.17263502,0.0
0.14291994,0.27729496,0.46693954,0.0,0.0049614497,0.0,0.265771,0.0,0.1707682,0.0
0.14293242,0.34059456,0.467071,0.0,0.0049727405,0.0,0.25047606,0.0,0.16912018,0.0
0.14693643,0.5302548,0.46765488,0.0,0.005061494,0.0,0.23651746,0.0,0.16765864,0.0
0.14836101,0.49846688,0.4680435,0.0,0.0052173133,0.0,0.22380961,0.0,0.16635762,0.0
0.1491117,0.5003145,0.46817622,0.0,0.005433227,0.0,0.21226987,0.0,0.16519597,0.0
0.15102567,0.57249844,0.46827307,0.0,0.0057037324,0.0,0.20180003,0.0,0.16415626,0.0
0.1512591,0.5404053,0.46807316,0.0,0.006025466,0.0,0.1923242,0.0,0.16322389,0.0
0.15263942,0.60080284,0.46782413,0.0,0.0063950927,0.0,0.18375258,0.0,0.16238652,0.0
0.15345123,0.60886985,0.46742588,0.0,0.0068100854,0.0,0.17600802,0.0,0.16163358,0.0
0.15232514,0.54284567,0.46664992,0.0,0.0072689555,0.0,0.16903277,0.0,0.16095613,0.0
0.1536368,0.63245076,0.46596274,0.0,0.0077685113,0.0,0.16274445,0.0,0.16034618,0.0
0.15318272,0.58621603,0.46504447,0.0,0.00830681,0.0,0.15708749,0.0,0.15979688,0.0
0.155932,0.72515804,0.46439466,0.0,0.008879619,0.0,0.15198286,0.0,0.15930189,0.0
0.15896559,0.8022625,0.46388087,0.0,0.0094831195,0.0,0.14736784,0.0,0.15885557,0.0
0.16139665,0.846698,0.46332374,0.0,0.010114176,0.0,0.1431962,0.0,0.15845291,0.0
0.1652181,0.96413356,0.4629004,0.0,0.010768585,0.0,0.13941714,0.0,0.15808937,0.0
0.16191049,0.7473831,0.4615778,0.0,0.011447781,0.0,0.13603836,0.0,0.15776141,0.0
0.1530059,0.4286326,0.4590423,0.0,0.01215512,0.0,0.1330808,0.0,0.15746646,0.0
0.14751203,0.37956628,0.4563243,0.0,0.012887571,0.0,0.13051079,0.0,0.15720205,0.0
0.14859912,0.5664956,0.4543581,0.0,0.013635854,0.0,0.12825309,0.0,0.15696546,0.0
0.14995451,0.609837,0.45278636,0.0,0.014393134,0.0,0.12625864,0.0,0.156754,0.0
0.15123735,0.64337164,0.451393,0.0,0.015154244,0.0,0.12449421,0.0,0.15656514,0.0
0.14797217,0.46926603,0.44948667,0.0,0.015919534,0.0,0.1229627,0.0,0.15639693,0.0
0.15173213,0.72713923,0.44824454,0.0,0.016679892,0.0,0.12161196,0.0,0.15624718,0.0
0.15258671,0.68391466,0.4469573,0.0,0.017432574,0.0,0.12042797,0.0,0.15611409,0.0
0.15332042,0.70418614,0.44563982,0.0,0.01817494,0.0,0.1193976,0.0,0.15599598,0.0
0.15283486,0.6719981,0.4441582,0.0,0.01890585,0.0,0.11851505,0.0,0.15589152,0.0
0.15348044,0.7190469,0.4427552,0.0,0.019622047,0.0,0.11776427,0.0,0.1557994,0.0
0.15543367,0.7985764,0.4415782,0.0,0.020319145,0.0,0.1171241,0.0,0.15571839,0.0
0.1574136,0.8486479,0.44053742,0.0,0.020994116,0.0,0.116579376,0.0,0.15564734,0.0
0.15270208,0.5991559,0.43871123,0.0,0.021653978,0.0,0.11615757,0.0,0.15558559,0.0
0.14903043,0.54330254,0.4366455,0.0,0.022299457,0.0,0.11585962,0.0,0.15553263,0.0
0.14032938,0.22202857,0.43381923,0.0,0.022937095,0.0,0.11570989,0.0,0.15548828,0.0
0.1357738,0.21876372,0.43116462,0.0,0.023562293,0.0,0.11568977,0.0,0.15545224,0.0
0.13108419,0.10627353,0.4285926,0.0,0.024171948,0.0,0.11578625,0.0,0.15542409,0.0
0.12956348,0.16229439,0.42649123,0.0,0.024758639,0.0,0.115970254,0.0,0.15540323,0.0
0.13381658,0.429428,0.425399,0.0,0.025309207,0.0,0.116190724,0.0,0.15538864,0.0
0.13837685,0.5430556,0.42488748,0.0,0.025817433,0.0,0.11641922,0.0,0.15537919,0.0
0.14062817,0.5352878,0.4244094,0.0,0.026285075,0.0,0.116653614,0.0,0.15537396,0.0
0.13950565,0.4261655,0.4235512,0.0,0.026719326,0.0,0.116910614,0.0,0.15537238,0.0
0.13707101,0.33909795,0.42236677,0.0,0.02712603,0.0,0.11720344,0.0,0.1553741,0.0
0.13569832,0.3383889,0.42118526,0.0,0.027506104,0.0,0.117529646,0.0,0.15537886,0.0
0.13497783,0.3424467,0.420117,0.0,0.027859012,0.0,0.117882036,0.0,0.15538633,0.0
0.1388194,0.5562181,0.41972363,0.0,0.028176865,0.0,0.118228324,0.0,0.15539593,0.0
0.14001314,0.5150911,0.41936046,0.0,0.028462017,0.0,0.11856759,0.0,0.15540716,0.0
0.14166379,0.566745,0.41910458,0.0,0.028715683,0.0,0.11889542,0.0,0.15541962,0.0
0.13792792,0.34404683,0.41823733,0.0,0.028949173,0.0,0.11924054,0.0,0.15543325,0.0
0.14209089,0.6463168,0.41810617,0.0,0.02915332,0.0,0.11956817,0.0,0.15544763,0.0
0.14336276,0.6014112,0.4179992,0.0,0.029330708,0.0,0.11987836,0.0,0.15546246,0.0
0.1440938,0.6058005,0.41786134,0.0,0.029484538,0.0,0.1201737,0.0,0.15547746,0.0
0.14154872,0.46673056,0.4173082,0.0,0.029623177,0.0,0.12047432,0.0,0.1554927,0.0
0.14202128,0.55503654,0.4169527,0.0,0.02974498,0.0,0.12077085,0.0,0.15550806,0.0
0.14378522,0.62873137,0.41687992,0.0,0.029847505,0.0,0.12105045,0.0,0.15552336,0.0
0.14682448,0.72899485,0.417133,0.0,0.029928287,0.0,0.121299155,0.0,0.15553828,0.0
0.14715828,0.6703963,0.41722152,0.0,0.0299926,0.0,0.12152663,0.0,0.15555269,0.0
0.15104727,0.8430088,0.4177038,0.0,0.03003693,0.0,0.12171599,0.0,0.15556628,0.0
0.15035138,0.71874356,0.41781077,0.0,0.030069707,0.0,0.121887244,0.0,0.15557905,0.0
0.1499907,0.7187882,0.41778463,0.0,0.030094491,0.0,0.12204783,0.0,0.15559101,0.0
0.14928755,0.6950584,0.41765562,0.0,0.03011386,0.0,0.1222033,0.0,0.15560228,0.0
0.15028496,0.75794,0.41770044,0.0,0.03012596,0.0,0.122345865,0.0,0.15561286,0.0
0.14525847,0.4998488,0.4170609,0.0,0.030141808,0.0,0.122508444,0.0,0.1556231,0.0
