neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.99792874,0.5887572,0.98186684,0.0,0.6506682,0.0,0.07896593,0.0,0.5893697,0.0
1.1192898E-5,0.48801985,0.0014567411,0.0,0.63122755,0.0,0.34470198,0.0,0.5979972,0.0
1.0760913E-12,0.43965277,0.07373129,0.0,0.58936936,0.0,0.43961138,0.0,0.59189624,0.0
3.9394406E-18,0.2851617,0.06584108,0.0,0.53967834,0.0,0.5131418,0.0,0.57487977,0.0
4.7152975E-22,0.2402662,0.08150458,0.0,0.48639554,0.0,0.56499815,0.0,0.55051345,0.0
1.3411671E-24,0.2725422,0.09350246,0.0,0.432974,0.0,0.60732,0.0,0.52045953,0.0
5.706239E-26,0.33532557,0.10852411,0.0,0.3817297,0.0,0.6432686,0.0,0.4860128,0.0
2.3084947E-26,0.42965913,0.12335721,0.0,0.33414486,0.0,0.67598104,0.0,0.44816336,0.0
5.9755036E-26,0.5684907,0.13823728,0.0,0.29097393,0.0,0.70663524,0.0,0.40793854,0.0
6.0582955E-25,0.6828205,0.15227802,0.0,0.25246873,0.0,0.73566306,0.0,0.3665077,0.0
1.2786874E-23,0.6648869,0.16534461,0.0,0.21857327,0.0,0.76264435,0.0,0.32523465,0.0
5.150273E-22,0.73369694,0.1771654,0.0,0.18906847,0.0,0.7868956,0.0,0.2855552,0.0
3.1589608E-20,0.8093889,0.18771361,0.0,0.16364929,0.0,0.80779046,0.0,0.24876669,0.0
1.9480976E-18,0.773843,0.19695246,0.0,0.14195666,0.0,0.82508355,0.0,0.21581002,0.0
1.103711E-16,0.7495397,0.20495039,0.0,0.123593554,0.0,0.8389236,0.0,0.18716078,0.0
4.1728545E-15,0.60826796,0.21178891,0.0,0.10814323,0.0,0.84974444,0.0,0.16285361,0.0
9.80519E-14,0.4414146,0.21759643,0.0,0.0951924,0.0,0.8580857,0.0,0.14260013,0.0
1.3537352E-12,0.24434172,0.22250019,0.0,0.08435283,0.0,0.86447567,0.0,0.12593023,0.0
1.7842169E-11,0.27729496,0.22663471,0.0,0.075276285,0.0,0.8693657,0.0,0.11231067,0.0
2.2800654E-10,0.34059456,0.23011817,0.0,0.067661084,0.0,0.8731182,0.0,0.10122242,0.0
3.4993262E-9,0.5302548,0.2330592,0.0,0.061252464,0.0,0.87601113,0.0,0.09220143,0.0
3.8746734E-8,0.49846688,0.23554766,0.0,0.05583884,0.0,0.87825465,0.0,0.08485325,0.0
3.392985E-7,0.5003145,0.23766127,0.0,0.05124638,0.0,0.88000536,0.0,0.07885289,0.0
2.74412E-6,0.57249844,0.23946412,0.0,0.04733318,0.0,0.8813798,0.0,0.07393758,0.0
1.6520611E-5,0.5404053,0.24101494,0.0,0.04398374,0.0,0.8824635,0.0,0.06989703,0.0
9.20017E-5,0.60080284,0.24238889,0.0,0.04110427,0.0,0.8833135,0.0,0.066564105,0.0
4.2632592E-4,0.60886985,0.24374293,0.0,0.038619187,0.0,0.88394743,0.0,0.063806936,0.0
0.0014444257,0.54284567,0.24533103,0.0,0.036468398,0.0,0.88434225,0.0,0.061522517,0.0
0.005091425,0.63245076,0.24846198,0.0,0.034610376,0.0,0.88420093,0.0,0.059639707,0.0
0.014041356,0.58621603,0.2542402,0.0,0.033020232,0.0,0.8832162,0.0,0.058112107,0.0
0.044992898,0.72515804,0.27506587,0.0,0.03174384,0.0,0.87817943,0.0,0.05700995,0.0
0.14138718,0.8022625,0.34036008,0.0,0.03100344,0.0,0.85968757,0.0,0.056703083,0.0
0.38767093,0.846698,0.51630163,0.0,0.031447932,0.0,0.7952919,0.0,0.058625557,0.0
0.7988695,0.96413356,0.7319384,0.0,0.03385496,0.0,0.66691667,0.0,0.065019295,0.0
0.9618094,0.7473831,0.6865554,0.0,0.037854515,0.0,0.61260283,0.0,0.07324742,0.0
0.98705184,0.4286326,0.74088395,0.0,0.043207683,0.0,0.5398656,0.0,0.08449111,0.0
0.9936219,0.37956628,0.69806933,0.0,0.0498294,0.0,0.5083519,0.0,0.09710754,0.0
0.9970776,0.5664956,0.7304123,0.0,0.057733815,0.0,0.4594237,0.0,0.11237311,0.0
0.9982426,0.609837,0.69854647,0.0,0.0669356,0.0,0.4354254,0.0,0.12902474,0.0
0.99858654,0.64337164,0.71756554,0.0,0.07748535,0.0,0.39835227,0.0,0.14824186,0.0
0.9977126,0.46926603,0.69224733,0.0,0.08938218,0.0,0.37739053,0.0,0.16900624,0.0
0.99708015,0.72713923,0.70303714,0.0,0.10267572,0.0,0.3465655,0.0,0.19242294,0.0
0.99419254,0.68391466,0.680032,0.0,0.11729987,0.0,0.32752028,0.0,0.21757975,0.0
0.98468393,0.70418614,0.67904973,0.0,0.13315387,0.0,0.30386645,0.0,0.24515125,0.0
0.9420384,0.6719981,0.62699324,0.0,0.14939485,0.0,0.30291885,0.0,0.2725335,0.0
0.76203686,0.7190469,0.48565274,0.0,0.16250819,0.0,0.36298034,0.0,0.29165775,0.0
0.31343266,0.7985764,0.20768884,0.0,0.1652504,0.0,0.55497384,0.0,0.28505874,0.0
0.036027346,0.8486479,0.20625523,0.0,0.15688893,0.0,0.684514,0.0,0.26300287,0.0
0.002075888,0.5991559,0.1908845,0.0,0.1424815,0.0,0.77206385,0.0,0.23360589,0.0
2.411714E-4,0.54330254,0.20874627,0.0,0.1265113,0.0,0.81363195,0.0,0.20435712,0.0
3.389301E-5,0.22202857,0.20736296,0.0,0.111490816,0.0,0.8383754,0.0,0.17783864,0.0
1.02931845E-5,0.21876372,0.2183387,0.0,0.09836105,0.0,0.850444,0.0,0.15526189,0.0
4.5141956E-6,0.10627353,0.2198088,0.0,0.0871727,0.0,0.85982186,0.0,0.13638546,0.0
3.5538253E-6,0.16229439,0.2265471,0.0,0.07774156,0.0,0.8654785,0.0,0.12090126,0.0
6.5921868E-6,0.429428,0.2284422,0.0,0.069794,0.0,0.8704549,0.0,0.108233154,0.0
1.7574479E-5,0.5430556,0.23274523,0.0,0.06309531,0.0,0.8737238,0.0,0.097931705,0.0
4.789497E-5,0.5352878,0.23448262,0.0,0.057428114,0.0,0.8766144,0.0,0.0895341,0.0
1.0524374E-4,0.4261655,0.23735753,0.0,0.052620117,0.0,0.8785874,0.0,0.082691886,0.0
1.968636E-4,0.33909795,0.23882663,0.0,0.04852235,0.0,0.88031805,0.0,0.07709264,0.0
