neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.99962133,0.008652931,0.5742118,0.0
0.9987162,0.01725742,0.604652,0.0
0.9960794,0.025765147,0.63130146,0.0
0.98915344,0.03412803,0.65448457,0.0
0.97291446,0.042298358,0.6741947,0.0
0.9401024,0.05022892,0.69004583,0.0
0.8869398,0.05787307,0.7015225,0.0
0.8246388,0.065184936,0.70873517,0.0
0.77628404,0.07211946,0.7128885,0.0
0.7516579,0.07863254,0.71549034,0.0
0.74299526,0.08468113,0.7174855,0.0
0.74127394,0.090223394,0.7192741,0.0
0.7420318,0.09521869,0.72099715,0.0
0.7436043,0.09962785,0.72270054,0.0
0.7454238,0.1034132,0.7243979,0.0
0.7472994,0.10653855,0.72609234,0.0
0.74916506,0.108969405,0.7277833,0.0
0.75099576,0.110673055,0.7294692,0.0
0.75278056,0.11161864,0.7311479,0.0
0.75451297,0.11177717,0.73281705,0.0
0.75618815,0.1111217,0.7344744,0.0
0.7578019,0.10962725,0.73611754,0.0
0.75935036,0.107271135,0.7377441,0.0
0.76082975,0.10403256,0.7393516,0.0
0.7622366,0.09989327,0.74093765,0.0
0.76356727,0.094837144,0.74249995,0.0
0.76481855,0.08885032,0.744036,0.0
0.7659871,0.081921384,0.7455435,0.0
0.76707006,0.07404126,0.74702,0.0
0.7680643,0.0652034,0.74846333,0.0
0.7689672,0.055403396,0.7498712,0.0
0.7697762,0.044639587,0.7512412,0.0
0.7704887,0.032912597,0.7525713,0.0
0.77110267,0.020225435,0.75385916,0.0
0.7716157,0.006583646,0.7551028,0.0
0.77202606,-0.008004844,0.75630003,0.0
0.77233195,-0.023529693,0.7574489,0.0
0.77253187,-0.03997828,0.75854737,0.0
0.7726242,-0.057335556,0.7595935,0.0
0.7726079,-0.0755841,0.7605855,0.0
0.772482,-0.09470442,0.7615214,0.0
0.77224547,-0.11467472,0.7623995,0.0
0.7718977,-0.13547109,0.763218,0.0
0.77143824,-0.15706734,0.7639753,0.0
0.77086675,-0.17943552,0.76466984,0.0
0.7701831,-0.20254564,0.7652999,0.0
0.7693874,-0.22636563,0.76586413,0.0
0.7684799,-0.25086188,0.76636094,0.0
0.76746094,-0.27599895,0.7667889,0.0
0.76633114,-0.3017398,0.7671468,0.0
0.76509136,-0.32804585,0.7674333,0.0
0.7637424,-0.354877,0.767647,0.0
0.7622854,-0.38219184,0.7677869,0.0
0.76072156,-0.40994796,0.7678518,0.0
0.75905246,-0.43810147,0.7678407,0.0
0.7572795,-0.4666076,0.7677524,0.0
0.75540453,-0.49542075,0.76758605,0.0
0.7534293,-0.5244945,0.7673407,0.0
0.75135577,-0.55378187,0.76701546,0.0
0.74918586,-0.5832349,0.76660955,0.0
0.746922,-0.6128056,0.7661222,0.0
0.74456644,-0.6424458,0.7655527,0.0
0.74212146,-0.6721065,0.7649005,0.0
0.7395897,-0.70173925,0.764165,0.0
0.7369737,-0.73129535,0.7633456,0.0
0.73427594,-0.76072645,0.76244193,0.0
0.7314993,-0.78998446,0.7614536,0.0
0.7286466,-0.81902146,0.7603804,0.0
0.72572047,-0.84779024,0.7592219,0.0
0.7227238,-0.87624454,0.75797796,0.0
0.7196594,-0.90433836,0.7566486,0.0
0.71653044,-0.9320268,0.7552337,0.0
0.7133396,-0.9592663,0.7537333,0.0
0.71009,-0.9860137,0.7521475,0.0
0.7067843,-1.0122279,0.7504766,0.0
0.7034258,-1.0378683,0.7487209,0.0
0.70001733,-1.0628963,0.74688065,0.0
