neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.458834,0.0,0.51766086,0.0,0.5553801,0.0,0.44416887,0.0,0.43637443,0.0
0.45555937,0.007438224,0.47733533,0.0,0.57679373,0.0,0.3527523,0.0,0.30567876,0.0
0.41615877,0.014876448,0.46502703,0.0,0.590642,0.0,0.27104303,0.0,0.18028526,0.0
0.34565836,0.022314671,0.47158155,0.0,0.597111,0.0,0.21086267,0.0,0.06589085,0.0
0.2517579,0.029752895,0.48653153,0.0,0.5959116,0.0,0.17768548,0.0,-0.031900514,0.0
0.14630075,0.03719112,0.5011228,0.0,0.5867817,0.0,0.17075604,0.0,-0.10918687,0.0
0.04309431,0.044629343,0.5095748,0.0,0.5698947,0.0,0.18494435,0.0,-0.16457692,0.0
-0.04629435,0.052067567,0.50885624,0.0,0.5459791,0.0,0.21295907,0.0,-0.19883165,0.0
-0.115209945,0.05950579,0.49783844,0.0,0.51620746,0.0,0.24726759,0.0,-0.21402024,0.0
-0.16169806,0.06694401,0.47655925,0.0,0.4820148,0.0,0.28139034,0.0,-0.21281873,0.0
-0.18681851,0.07438224,0.44583935,0.0,0.44494516,0.0,0.3104754,0.0,-0.19815034,0.0
-0.19310257,0.081820466,0.4071611,0.0,0.406544,0.0,0.3313148,0.0,-0.17308848,0.0
-0.18371157,0.089258686,0.36262992,0.0,0.36827904,0.0,0.3420867,0.0,-0.14086278,0.0
-0.16214271,0.09669691,0.31486943,0.0,0.33146837,0.0,0.34206423,0.0,-0.10482801,0.0
-0.1321563,0.10413513,0.26677883,0.0,0.2972041,0.0,0.33141655,0.0,-0.06831771,0.0
-0.09767124,0.11157335,0.22117847,0.0,0.26627764,0.0,0.31111374,0.0,-0.034385525,0.0
-0.06251769,0.11901158,0.18044074,0.0,0.23912875,0.0,0.28287116,0.0,-0.005508473,0.0
-0.030079352,0.12644981,0.14621395,0.0,0.2158397,0.0,0.24903981,0.0,0.016647805,0.0
-0.0029487486,0.13388802,0.11930042,0.0,0.19618136,0.0,0.21237549,0.0,0.031331897,0.0
0.01728305,0.14132625,0.09968827,0.0,0.17969713,0.0,0.1756951,0.0,0.03866428,0.0
0.030052673,0.14876448,0.08669547,0.0,0.16580142,0.0,0.14150357,0.0,0.039482083,0.0
0.035694834,0.15620269,0.07917401,0.0,0.15387213,0.0,0.111699246,0.0,0.035119943,0.0
0.035221852,0.16364093,0.07572878,0.0,0.14332502,0.0,0.08742644,0.0,0.027172256,0.0
0.030072674,0.17107914,0.07491847,0.0,0.13366567,0.0,0.069078565,0.0,0.01727083,0.0
0.021870991,0.17851737,0.07541727,0.0,0.12451939,0.0,0.05640973,0.0,0.006901924,0.0
0.012215246,0.1859556,0.07612733,0.0,0.11564088,0.0,0.04870191,0.0,-0.0027228545,0.0
0.0025145824,0.19339383,0.07624024,0.0,0.10690723,0.0,0.044945627,0.0,-0.010737073,0.0
-0.0061209537,0.20083204,0.07525323,0.0,0.098298736,0.0,0.044008072,0.0,-0.016635759,0.0
-0.012934222,0.20827027,0.07294912,0.0,0.089872345,0.0,0.044774197,0.0,-0.020248428,0.0
-0.017524472,0.2157085,0.06935139,0.0,0.08173276,0.0,0.046253644,0.0,-0.021682687,0.0
-0.019811602,0.2231467,0.064664796,0.0,0.07400499,0.0,0.04765091,0.0,-0.021251844,0.0
-0.01997472,0.23058493,0.05921086,0.0,0.06681113,0.0,0.048400108,0.0,-0.01939779,0.0
-0.018377647,0.23802316,0.053365655,0.0,0.060252715,0.0,0.04816887,0.0,-0.016617818,0.0
